city,type,value
三亚,AQI,32.73
三亚,CO,0.55
三亚,NO2,10.77
三亚,O3,55.73
三亚,PM10,32.59
三亚,PM2.5,17.82
三亚,SO2,2.0
三门峡,AQI,95.41
三门峡,CO,1.22
三门峡,NO2,45.82
三门峡,O3,31.14
三门峡,PM10,138.41
三门峡,PM2.5,58.14
三门峡,SO2,60.64
上海,AQI,79.73
上海,CO,0.65
上海,NO2,51.59
上海,O3,113.55
上海,PM10,100.41
上海,PM2.5,53.09
上海,SO2,16.95
东莞,AQI,50.0
东莞,CO,0.82
东莞,NO2,40.41
东莞,O3,23.09
东莞,PM10,48.91
东莞,PM2.5,33.77
东莞,SO2,12.41
东营,AQI,132.0
东营,CO,1.17
东营,NO2,44.59
东营,O3,111.41
东营,PM10,213.41
东营,PM2.5,80.77
东营,SO2,103.36
中山,AQI,25.18
中山,CO,0.76
中山,NO2,8.36
中山,O3,32.14
中山,PM10,24.64
中山,PM2.5,15.73
中山,SO2,7.95
临安,AQI,150.95
临安,CO,1.06
临安,NO2,32.64
临安,O3,84.73
临安,PM10,185.23
临安,PM2.5,113.64
临安,SO2,19.59
临汾,AQI,100.18
临汾,CO,2.91
临汾,NO2,43.64
临汾,O3,48.91
临汾,PM10,118.95
临汾,PM2.5,74.73
临汾,SO2,69.77
临沂,AQI,118.09
临沂,CO,1.28
临沂,NO2,64.45
临沂,O3,44.41
临沂,PM10,172.55
临沂,PM2.5,85.32
临沂,SO2,81.68
丹东,AQI,63.27
丹东,CO,0.89
丹东,NO2,37.5
丹东,O3,58.0
丹东,PM10,77.91
丹东,PM2.5,30.5
丹东,SO2,19.45
丽水,AQI,99.59
丽水,CO,0.91
丽水,NO2,27.09
丽水,O3,96.55
丽水,PM10,88.32
丽水,PM2.5,74.55
丽水,SO2,8.91
义乌,AQI,120.86
义乌,CO,1.17
义乌,NO2,44.09
义乌,O3,91.27
义乌,PM10,133.23
义乌,PM2.5,91.41
义乌,SO2,22.86
乌鲁木齐,AQI,81.82
乌鲁木齐,CO,0.44
乌鲁木齐,NO2,33.77
乌鲁木齐,O3,51.18
乌鲁木齐,PM10,113.23
乌鲁木齐,PM2.5,26.36
乌鲁木齐,SO2,8.23
九江,AQI,102.14
九江,CO,0.7
九江,NO2,36.59
九江,O3,40.59
九江,PM10,134.41
九江,PM2.5,64.82
九江,SO2,41.36
乳山,AQI,71.45
乳山,CO,0.96
乳山,NO2,16.68
乳山,O3,115.09
乳山,PM10,76.05
乳山,PM2.5,44.14
乳山,SO2,29.68
云浮,AQI,30.32
云浮,CO,1.83
云浮,NO2,9.14
云浮,O3,19.36
云浮,PM10,25.09
云浮,PM2.5,16.23
云浮,SO2,9.64
佛山,AQI,53.32
佛山,CO,1.14
佛山,NO2,50.55
佛山,O3,28.68
佛山,PM10,55.36
佛山,PM2.5,35.32
佛山,SO2,21.0
保定,AQI,138.32
保定,CO,1.42
保定,NO2,38.09
保定,O3,74.05
保定,PM10,225.86
保定,PM2.5,64.14
保定,SO2,37.5
克拉玛依,AQI,42.91
克拉玛依,CO,0.55
克拉玛依,NO2,6.45
克拉玛依,O3,81.32
克拉玛依,PM10,42.68
克拉玛依,PM2.5,21.05
克拉玛依,SO2,3.18
兰州,AQI,88.18
兰州,CO,1.7
兰州,NO2,76.18
兰州,O3,65.73
兰州,PM10,127.27
兰州,PM2.5,42.55
兰州,SO2,50.23
包头,AQI,88.0
包头,CO,0.58
包头,NO2,24.95
包头,O3,82.77
包头,PM10,125.5
包头,PM2.5,39.05
包头,SO2,24.18
北京,AQI,89.09
北京,CO,0.59
北京,NO2,52.64
北京,O3,82.55
北京,PM10,129.0
北京,PM2.5,47.05
北京,SO2,10.82
北海,AQI,61.86
北海,CO,1.58
北海,NO2,15.95
北海,O3,83.82
北海,PM10,70.91
北海,PM2.5,28.23
北海,SO2,23.86
南京,AQI,137.0
南京,CO,1.11
南京,NO2,75.73
南京,O3,119.59
南京,PM10,220.64
南京,PM2.5,88.45
南京,SO2,29.23
南充,AQI,91.36
南充,CO,0.62
南充,NO2,15.36
南充,O3,33.14
南充,PM10,88.14
南充,PM2.5,68.0
南充,SO2,9.91
南宁,AQI,72.32
南宁,CO,1.44
南宁,NO2,36.09
南宁,O3,52.0
南宁,PM10,93.55
南宁,PM2.5,47.91
南宁,SO2,13.23
南昌,AQI,86.95
南昌,CO,1.06
南昌,NO2,34.32
南昌,O3,62.5
南昌,PM10,117.95
南昌,PM2.5,57.77
南昌,SO2,34.05
南通,AQI,106.73
南通,CO,0.84
南通,NO2,72.0
南通,O3,125.0
南通,PM10,144.91
南通,PM2.5,73.27
南通,SO2,50.68
即墨,AQI,90.77
即墨,CO,0.7
即墨,NO2,69.05
即墨,O3,96.41
即墨,PM10,131.05
即墨,PM2.5,48.27
即墨,SO2,47.86
厦门,AQI,99.86
厦门,CO,1.17
厦门,NO2,34.59
厦门,O3,123.77
厦门,PM10,101.73
厦门,PM2.5,74.86
厦门,SO2,20.64
句容,AQI,121.55
句容,CO,1.0
句容,NO2,53.32
句容,O3,120.95
句容,PM10,136.45
句容,PM2.5,82.95
句容,SO2,55.36
台州,AQI,86.36
台州,CO,0.88
台州,NO2,34.36
台州,O3,115.68
台州,PM10,97.14
台州,PM2.5,63.18
台州,SO2,16.45
合肥,AQI,108.86
合肥,CO,0.94
合肥,NO2,35.68
合肥,O3,35.05
合肥,PM10,162.82
合肥,PM2.5,69.77
合肥,SO2,22.09
吉林,AQI,45.59
吉林,CO,1.39
吉林,NO2,29.14
吉林,O3,45.55
吉林,PM10,48.0
吉林,PM2.5,26.23
吉林,SO2,23.32
吴江,AQI,92.0
吴江,CO,0.76
吴江,NO2,54.64
吴江,O3,114.09
吴江,PM10,133.32
吴江,PM2.5,60.5
吴江,SO2,29.27
呼和浩特,AQI,61.59
呼和浩特,CO,1.89
呼和浩特,NO2,31.82
呼和浩特,O3,44.86
呼和浩特,PM10,71.59
呼和浩特,PM2.5,30.64
呼和浩特,SO2,17.27
咸阳,AQI,83.95
咸阳,CO,1.1
咸阳,NO2,58.41
咸阳,O3,29.32
咸阳,PM10,117.36
咸阳,PM2.5,39.95
咸阳,SO2,54.45
哈尔滨,AQI,39.27
哈尔滨,CO,0.53
哈尔滨,NO2,40.05
哈尔滨,O3,31.32
哈尔滨,PM10,41.14
哈尔滨,PM2.5,24.18
哈尔滨,SO2,14.27
唐山,AQI,101.86
唐山,CO,2.73
唐山,NO2,59.86
唐山,O3,86.23
唐山,PM10,142.91
唐山,PM2.5,66.14
唐山,SO2,71.18
嘉兴,AQI,102.05
嘉兴,CO,0.88
嘉兴,NO2,57.14
嘉兴,O3,132.68
嘉兴,PM10,125.91
嘉兴,PM2.5,69.41
嘉兴,SO2,30.82
嘉峪关,AQI,79.77
嘉峪关,CO,0.77
嘉峪关,NO2,27.32
嘉峪关,O3,144.45
嘉峪关,PM10,75.3
嘉峪关,PM2.5,31.5
嘉峪关,SO2,38.41
大同,AQI,68.82
大同,CO,0.78
大同,NO2,23.64
大同,O3,60.0
大同,PM10,91.86
大同,PM2.5,27.14
大同,SO2,19.77
大庆,AQI,25.77
大庆,CO,0.33
大庆,NO2,14.86
大庆,O3,54.55
大庆,PM10,23.09
大庆,PM2.5,15.5
大庆,SO2,8.23
大连,AQI,72.09
大连,CO,1.03
大连,NO2,56.82
大连,O3,67.0
大连,PM10,90.77
大连,PM2.5,45.27
大连,SO2,14.95
天津,AQI,111.23
天津,CO,1.81
天津,NO2,62.95
天津,O3,59.05
天津,PM10,163.73
天津,PM2.5,75.45
天津,SO2,41.86
太仓,AQI,97.91
太仓,CO,1.23
太仓,NO2,37.41
太仓,O3,79.68
太仓,PM10,136.91
太仓,PM2.5,69.36
太仓,SO2,48.95
太原,AQI,99.0
太原,CO,1.23
太原,NO2,64.05
太原,O3,49.41
太原,PM10,147.45
太原,PM2.5,57.05
太原,SO2,86.59
威海,AQI,87.91
威海,CO,0.62
威海,NO2,58.77
威海,O3,82.14
威海,PM10,125.05
威海,PM2.5,48.41
威海,SO2,29.18
宁波,AQI,86.09
宁波,CO,0.88
宁波,NO2,39.05
宁波,O3,123.95
宁波,PM10,113.77
宁波,PM2.5,57.05
宁波,SO2,17.0
安阳,AQI,114.23
安阳,CO,1.55
安阳,NO2,78.91
安阳,O3,52.64
安阳,PM10,163.05
安阳,PM2.5,83.32
安阳,SO2,73.91
宜兴,AQI,114.36
宜兴,CO,1.76
宜兴,NO2,57.91
宜兴,O3,133.95
宜兴,PM10,154.64
宜兴,PM2.5,75.5
宜兴,SO2,49.23
宜宾,AQI,78.27
宜宾,CO,0.57
宜宾,NO2,25.91
宜宾,O3,83.09
宜宾,PM10,94.82
宜宾,PM2.5,54.73
宜宾,SO2,16.32
宜昌,AQI,118.5
宜昌,CO,0.88
宜昌,NO2,45.68
宜昌,O3,41.41
宜昌,PM10,151.0
宜昌,PM2.5,89.73
宜昌,SO2,45.55
宝鸡,AQI,70.55
宝鸡,CO,1.82
宝鸡,NO2,41.05
宝鸡,O3,45.86
宝鸡,PM10,90.55
宝鸡,PM2.5,35.77
宝鸡,SO2,15.73
宿迁,AQI,80.41
宿迁,CO,0.83
