city,type,value
三亚,AQI,24.65
三亚,CO,0.48
三亚,NO2,11.78
三亚,O3,40.48
三亚,PM10,24.65
三亚,PM2.5,7.04
三亚,SO2,2.26
三门峡,AQI,76.04
三门峡,CO,1.12
三门峡,NO2,34.09
三门峡,O3,54.48
三门峡,PM10,98.91
三门峡,PM2.5,51.61
三门峡,SO2,31.87
上海,AQI,71.74
上海,CO,1.05
上海,NO2,41.7
上海,O3,54.78
上海,PM10,68.39
上海,PM2.5,51.87
上海,SO2,17.09
东莞,AQI,33.83
东莞,CO,0.61
东莞,NO2,18.88
东莞,O3,72.21
东莞,PM10,29.83
东莞,PM2.5,17.92
东莞,SO2,16.71
东营,AQI,106.7
东营,CO,1.1
东营,NO2,28.04
东营,O3,134.43
东营,PM10,131.43
东营,PM2.5,72.96
东营,SO2,41.83
中山,AQI,18.71
中山,CO,0.85
中山,NO2,7.46
中山,O3,45.71
中山,PM10,17.83
中山,PM2.5,9.79
中山,SO2,10.75
临安,AQI,54.35
临安,CO,0.85
临安,NO2,15.43
临安,O3,68.04
临安,PM10,58.17
临安,PM2.5,34.78
临安,SO2,13.13
临汾,AQI,134.25
临汾,CO,3.54
临汾,NO2,30.71
临汾,O3,53.08
临汾,PM10,139.0
临汾,PM2.5,101.25
临汾,SO2,48.42
临沂,AQI,106.92
临沂,CO,1.44
临沂,NO2,47.71
临沂,O3,76.0
临沂,PM10,163.25
临沂,PM2.5,63.83
临沂,SO2,54.33
丹东,AQI,51.0
丹东,CO,1.69
丹东,NO2,22.83
丹东,O3,67.7
丹东,PM10,53.65
丹东,PM2.5,29.48
丹东,SO2,19.22
丽水,AQI,71.25
丽水,CO,0.74
丽水,NO2,29.75
丽水,O3,75.17
丽水,PM10,63.38
丽水,PM2.5,51.92
丽水,SO2,15.58
义乌,AQI,79.75
义乌,CO,1.2
义乌,NO2,28.67
义乌,O3,100.29
义乌,PM10,82.75
义乌,PM2.5,58.75
义乌,SO2,31.29
乌鲁木齐,AQI,68.62
乌鲁木齐,CO,0.55
乌鲁木齐,NO2,38.33
乌鲁木齐,O3,60.46
乌鲁木齐,PM10,86.42
乌鲁木齐,PM2.5,27.21
乌鲁木齐,SO2,12.96
九江,AQI,64.71
九江,CO,0.63
九江,NO2,17.38
九江,O3,34.54
九江,PM10,80.21
九江,PM2.5,40.21
九江,SO2,14.71
乳山,AQI,41.96
乳山,CO,0.49
乳山,NO2,8.54
乳山,O3,90.67
乳山,PM10,37.21
