date,hour,type,city,value
20141015,0,AQI,北京,136.0
20141015,0,PM2.5,北京,104.0
20141015,0,PM2.5_24h,北京,47.0
20141015,0,PM10,北京,171.0
20141015,0,PM10_24h,北京,94.0
20141015,0,SO2,北京,13.0
20141015,0,SO2_24h,北京,8.0
20141015,0,NO2,北京,83.0
20141015,0,NO2_24h,北京,64.0
20141015,0,O3,北京,12.0
20141015,0,O3_24h,北京,86.0
20141015,0,O3_8h,北京,32.0
20141015,0,O3_8h_24h,北京,59.0
20141015,0,CO,北京,1.0
20141015,0,CO_24h,北京,0.71
20141015,1,AQI,北京,138.0
20141015,1,PM2.5,北京,105.0
20141015,1,PM2.5_24h,北京,49.0
20141015,1,PM10,北京,172.0
20141015,1,PM10_24h,北京,98.0
20141015,1,SO2,北京,11.0
20141015,1,SO2_24h,北京,9.0
20141015,1,NO2,北京,75.0
20141015,1,NO2_24h,北京,65.0
20141015,1,O3,北京,11.0
20141015,1,O3_24h,北京,86.0
20141015,1,O3_8h,北京,24.0
20141015,1,O3_8h_24h,北京,59.0
20141015,1,CO,北京,1.05
20141015,1,CO_24h,北京,0.72
20141015,2,AQI,北京,136.0
20141015,2,PM2.5,北京,104.0
20141015,2,PM2.5_24h,北京,52.0
20141015,2,PM10,北京,160.0
20141015,2,PM10_24h,北京,101.0
20141015,2,SO2,北京,9.0
20141015,2,SO2_24h,北京,9.0
20141015,2,NO2,北京,72.0
20141015,2,NO2_24h,北京,65.0
20141015,2,O3,北京,10.0
20141015,2,O3_24h,北京,86.0
20141015,2,O3_8h,北京,17.0
20141015,2,O3_8h_24h,北京,59.0
20141015,2,CO,北京,0.96
20141015,2,CO_24h,北京,0.74
20141015,3,AQI,北京,129.0
20141015,3,PM2.5,北京,98.0
20141015,3,PM2.5_24h,北京,55.0
20141015,3,PM10,北京,152.0
20141015,3,PM10_24h,北京,105.0
20141015,3,SO2,北京,7.0
20141015,3,SO2_24h,北京,9.0
20141015,3,NO2,北京,69.0
20141015,3,NO2_24h,北京,66.0
20141015,3,O3,北京,9.0
20141015,3,O3_24h,北京,86.0
20141015,3,O3_8h,北京,14.0
20141015,3,O3_8h_24h,北京,59.0
20141015,3,CO,北京,0.96
20141015,3,CO_24h,北京,0.75
20141015,4,AQI,北京,120.0
20141015,4,PM2.5,北京,91.0
20141015,4,PM2.5_24h,北京,57.0
20141015,4,PM10,北京,134.0
20141015,4,PM10_24h,北京,107.0
20141015,4,SO2,北京,5.0
20141015,4,SO2_24h,北京,9.0
20141015,4,NO2,北京,66.0
20141015,4,NO2_24h,北京,66.0
20141015,4,O3,北京,10.0
20141015,4,O3_24h,北京,86.0
20141015,4,O3_8h,北京,12.0
20141015,4,O3_8h_24h,北京,59.0
20141015,4,CO,北京,0.92
20141015,4,CO_24h,北京,0.76
20141015,5,AQI,北京,108.0
20141015,5,PM2.5,北京,81.0
20141015,5,PM2.5_24h,北京,60.0
20141015,5,PM10,北京,130.0
20141015,5,PM10_24h,北京,111.0
20141015,5,SO2,北京,5.0
20141015,5,SO2_24h,北京,9.0
20141015,5,NO2,北京,72.0
20141015,5,NO2_24h,北京,67.0
20141015,5,O3,北京,6.0
20141015,5,O3_24h,北京,86.0
20141015,5,O3_8h,北京,10.0
20141015,5,O3_8h_24h,北京,59.0
20141015,5,CO,北京,0.93
20141015,5,CO_24h,北京,0.77
20141015,6,AQI,北京,98.0
20141015,6,PM2.5,北京,73.0
20141015,6,PM2.5_24h,北京,62.0
20141015,6,PM10,北京,117.0
20141015,6,PM10_24h,北京,113.0
20141015,6,SO2,北京,5.0
20141015,6,SO2_24h,北京,9.0
20141015,6,NO2,北京,72.0
20141015,6,NO2_24h,北京,68.0
20141015,6,O3,北京,5.0
20141015,6,O3_24h,北京,86.0
20141015,6,O3_8h,北京,9.0
20141015,6,O3_8h_24h,北京,59.0
20141015,6,CO,北京,0.9
20141015,6,CO_24h,北京,0.79
20141015,7,AQI,北京,93.0
20141015,7,PM2.5,北京,69.0
20141015,7,PM2.5_24h,北京,64.0
20141015,7,PM10,北京,119.0
20141015,7,PM10_24h,北京,116.0
20141015,7,SO2,北京,4.0
20141015,7,SO2_24h,北京,9.0
20141015,7,NO2,北京,69.0
20141015,7,NO2_24h,北京,69.0
20141015,7,O3,北京,5.0
20141015,7,O3_24h,北京,86.0
20141015,7,O3_8h,北京,8.0
20141015,7,O3_8h_24h,北京,59.0
20141015,7,CO,北京,0.91
20141015,7,CO_24h,北京,0.81
20141015,8,AQI,北京,100.0
20141015,8,PM2.5,北京,75.0
20141015,8,PM2.5_24h,北京,66.0
20141015,8,PM10,北京,147.0
20141015,8,PM10_24h,北京,120.0
20141015,8,SO2,北京,6.0
20141015,8,SO2_24h,北京,9.0
20141015,8,NO2,北京,72.0
20141015,8,NO2_24h,北京,70.0
20141015,8,O3,北京,4.0
20141015,8,O3_24h,北京,86.0
20141015,8,O3_8h,北京,7.0
20141015,8,O3_8h_24h,北京,59.0
20141015,8,CO,北京,1.18
20141015,8,CO_24h,北京,0.82
20141015,9,AQI,北京,101.0
20141015,9,PM2.5,北京,76.0
20141015,9,PM2.5_24h,北京,68.0
20141015,9,PM10,北京,145.0
20141015,9,PM10_24h,北京,123.0
20141015,9,SO2,北京,11.0
20141015,9,SO2_24h,北京,9.0
20141015,9,NO2,北京,77.0
20141015,9,NO2_24h,北京,71.0
20141015,9,O3,北京,6.0
20141015,9,O3_24h,北京,86.0
20141015,9,O3_8h,北京,7.0
20141015,9,O3_8h_24h,北京,59.0
20141015,9,CO,北京,1.17
20141015,9,CO_24h,北京,0.84
20141015,10,AQI,北京,101.0
20141015,10,PM2.5,北京,45.0
20141015,10,PM2.5_24h,北京,68.0
20141015,10,PM10,北京,152.0
20141015,10,PM10_24h,北京,126.0
20141015,10,SO2,北京,8.0
20141015,10,SO2_24h,北京,9.0
20141015,10,NO2,北京,50.0
20141015,10,NO2_24h,北京,71.0
20141015,10,O3,北京,32.0
20141015,10,O3_24h,北京,86.0
20141015,10,O3_8h,北京,10.0
20141015,10,O3_8h_24h,北京,59.0
20141015,10,CO,北京,0.63
20141015,10,CO_24h,北京,0.84
20141015,11,AQI,北京,97.0
20141015,11,PM2.5,北京,25.0
20141015,11,PM2.5_24h,北京,67.0
20141015,11,PM10,北京,144.0
20141015,11,PM10_24h,北京,129.0
20141015,11,SO2,北京,5.0
20141015,11,SO2_24h,北京,9.0
20141015,11,NO2,北京,24.0
20141015,11,NO2_24h,北京,69.0
20141015,11,O3,北京,56.0
20141015,11,O3_24h,北京,86.0
20141015,11,O3_8h,北京,16.0
20141015,11,O3_8h_24h,北京,59.0
20141015,11,CO,北京,0.36
20141015,11,CO_24h,北京,0.82
20141015,12,AQI,北京,83.0
20141015,12,PM2.5,北京,10.0
20141015,12,PM2.5_24h,北京,66.0
20141015,12,PM10,北京,115.0
20141015,12,PM10_24h,北京,130.0
20141015,12,SO2,北京,3.0
20141015,12,SO2_24h,北京,9.0
20141015,12,NO2,北京,14.0
20141015,12,NO2_24h,北京,67.0
20141015,12,O3,北京,64.0
20141015,12,O3_24h,北京,86.0
20141015,12,O3_8h,北京,22.0
20141015,12,O3_8h_24h,北京,59.0
20141015,12,CO,北京,0.24
20141015,12,CO_24h,北京,0.8
20141015,13,AQI,北京,64.0
20141015,13,PM2.5,北京,11.0
20141015,13,PM2.5_24h,北京,65.0
20141015,13,PM10,北京,77.0
20141015,13,PM10_24h,北京,129.0
20141015,13,SO2,北京,3.0
20141015,13,SO2_24h,北京,9.0
20141015,13,NO2,北京,13.0
20141015,13,NO2_24h,北京,64.0
20141015,13,O3,北京,66.0
20141015,13,O3_24h,北京,86.0
20141015,13,O3_8h,北京,30.0
20141015,13,O3_8h_24h,北京,59.0
20141015,13,CO,北京,0.23
20141015,13,CO_24h,北京,0.79
20141015,14,AQI,北京,68.0
20141015,14,PM2.5,北京,11.0
20141015,14,PM2.5_24h,北京,64.0
20141015,14,PM10,北京,85.0
20141015,14,PM10_24h,北京,129.0
20141015,14,SO2,北京,3.0
20141015,14,SO2_24h,北京,8.0
20141015,14,NO2,北京,12.0
20141015,14,NO2_24h,北京,62.0
20141015,14,O3,北京,70.0
20141015,14,O3_24h,北京,86.0
20141015,14,O3_8h,北京,38.0
20141015,14,O3_8h_24h,北京,59.0
20141015,14,CO,北京,0.24
20141015,14,CO_24h,北京,0.77
20141015,15,AQI,北京,56.0
20141015,15,PM2.5,北京,10.0
20141015,15,PM2.5_24h,北京,62.0
20141015,15,PM10,北京,62.0
20141015,15,PM10_24h,北京,128.0
20141015,15,SO2,北京,2.0
20141015,15,SO2_24h,北京,8.0
20141015,15,NO2,北京,13.0
20141015,15,NO2_24h,北京,61.0
20141015,15,O3,北京,71.0
20141015,15,O3_24h,北京,85.0
20141015,15,O3_8h,北京,46.0
20141015,15,O3_8h_24h,北京,59.0
20141015,15,CO,北京,0.23
20141015,15,CO_24h,北京,0.76
20141015,17,AQI,北京,53.0
20141015,17,PM2.5,北京,8.0
20141015,17,PM2.5_24h,北京,60.0
20141015,17,PM10,北京,56.0
20141015,17,PM10_24h,北京,126.0
20141015,17,SO2,北京,2.0
20141015,17,SO2_24h,北京,8.0
20141015,17,NO2,北京,16.0
20141015,17,NO2_24h,北京,59.0
20141015,17,O3,北京,68.0
20141015,17,O3_24h,北京,74.0
20141015,17,O3_8h,北京,62.0
20141015,17,O3_8h_24h,北京,63.0
20141015,17,CO,北京,0.22
20141015,17,CO_24h,北京,0.73
20141015,18,AQI,北京,50.0
20141015,18,PM2.5,北京,10.0
20141015,18,PM2.5_24h,北京,58.0
20141015,18,PM10,北京,50.0
20141015,18,PM10_24h,北京,123.0
20141015,18,SO2,北京,2.0
20141015,18,SO2_24h,北京,7.0
20141015,18,NO2,北京,19.0
20141015,18,NO2_24h,北京,57.0
20141015,18,O3,北京,64.0
20141015,18,O3_24h,北京,71.0
20141015,18,O3_8h,北京,66.0
20141015,18,O3_8h_24h,北京,67.0
20141015,18,CO,北京,0.23
20141015,18,CO_24h,北京,0.71
20141015,19,AQI,北京,44.0
20141015,19,PM2.5,北京,8.0
20141015,19,PM2.5_24h,北京,56.0
20141015,19,PM10,北京,44.0
20141015,19,PM10_24h,北京,120.0
20141015,19,SO2,北京,2.0
20141015,19,SO2_24h,北京,7.0
20141015,19,NO2,北京,25.0
20141015,19,NO2_24h,北京,54.0
20141015,19,O3,北京,56.0
20141015,19,O3_24h,北京,71.0
20141015,19,O3_8h,北京,66.0
20141015,19,O3_8h_24h,北京,67.0
20141015,19,CO,北京,0.27
20141015,19,CO_24h,北京,0.69
20141015,20,AQI,北京,33.0
20141015,20,PM2.5,北京,9.0
20141015,20,PM2.5_24h,北京,54.0
20141015,20,PM10,北京,33.0
20141015,20,PM10_24h,北京,116.0
20141015,20,SO2,北京,2.0
20141015,20,SO2_24h,北京,6.0
20141015,20,NO2,北京,30.0
20141015,20,NO2_24h,北京,51.0
20141015,20,O3,北京,50.0
20141015,20,O3_24h,北京,71.0
20141015,20,O3_8h,北京,64.0
20141015,20,O3_8h_24h,北京,67.0
20141015,20,CO,北京,0.29
20141015,20,CO_24h,北京,0.67
20141015,21,AQI,北京,36.0
20141015,21,PM2.5,北京,10.0
20141015,21,PM2.5_24h,北京,51.0
20141015,21,PM10,北京,36.0
20141015,21,PM10_24h,北京,111.0
20141015,21,SO2,北京,2.0
20141015,21,SO2_24h,北京,6.0
20141015,21,NO2,北京,35.0
20141015,21,NO2_24h,北京,49.0
20141015,21,O3,北京,43.0
20141015,21,O3_24h,北京,71.0
20141015,21,O3_8h,北京,61.0
20141015,21,O3_8h_24h,北京,67.0
20141015,21,CO,北京,0.31
20141015,21,CO_24h,北京,0.64
20141015,22,AQI,北京,41.0
20141015,22,PM2.5,北京,11.0
20141015,22,PM2.5_24h,北京,48.0
20141015,22,PM10,北京,41.0
20141015,22,PM10_24h,北京,106.0
20141015,22,SO2,北京,2.0
20141015,22,SO2_24h,北京,6.0
20141015,22,NO2,北京,50.0
20141015,22,NO2_24h,北京,47.0
20141015,22,O3,北京,26.0
20141015,22,O3_24h,北京,71.0
20141015,22,O3_8h,北京,56.0
20141015,22,O3_8h_24h,北京,67.0
20141015,22,CO,北京,0.37
20141015,22,CO_24h,北京,0.61
20141015,23,AQI,北京,37.0
20141015,23,PM2.5,北京,11.0
20141015,23,PM2.5_24h,北京,44.0
20141015,23,PM10,北京,37.0
20141015,23,PM10_24h,北京,101.0
20141015,23,SO2,北京,2.0
20141015,23,SO2_24h,北京,5.0
20141015,23,NO2,北京,58.0
20141015,23,NO2_24h,北京,46.0
20141015,23,O3,北京,17.0
