city,month,type,value
七台河,202101.csv,AQI,88.78
七台河,202101.csv,CO,0.85
七台河,202101.csv,NO2,36.66
七台河,202101.csv,O3,47.65
七台河,202101.csv,PM10,85.45
七台河,202101.csv,PM2.5,65.44
七台河,202101.csv,SO2,16.66
三亚,202101.csv,AQI,40.88
三亚,202101.csv,CO,0.5
三亚,202101.csv,NO2,13.5
三亚,202101.csv,O3,85.02
三亚,202101.csv,PM10,42.13
三亚,202101.csv,PM2.5,21.33
三亚,202101.csv,SO2,3.61
三明,202101.csv,AQI,58.41
三明,202101.csv,CO,0.85
三明,202101.csv,NO2,36.63
三明,202101.csv,O3,35.54
三明,202101.csv,PM10,61.16
三明,202101.csv,PM2.5,37.56
三明,202101.csv,SO2,9.12
三沙,202101.csv,AQI,28.25
三沙,202101.csv,CO,0.4
三沙,202101.csv,NO2,17.75
三沙,202101.csv,O3,59.5
三沙,202101.csv,PM10,28.25
三沙,202101.csv,PM2.5,10.0
三沙,202101.csv,SO2,1.0
三门峡,202101.csv,AQI,119.68
三门峡,202101.csv,CO,1.2
三门峡,202101.csv,NO2,45.96
三门峡,202101.csv,O3,34.57
三门峡,202101.csv,PM10,139.49
三门峡,202101.csv,PM2.5,76.26
三门峡,202101.csv,SO2,13.97
上海,202101.csv,AQI,63.56
上海,202101.csv,CO,0.69
上海,202101.csv,NO2,49.88
上海,202101.csv,O3,39.03
上海,202101.csv,PM10,67.13
上海,202101.csv,PM2.5,38.64
上海,202101.csv,SO2,7.69
上饶,202101.csv,AQI,70.45
上饶,202101.csv,CO,0.84
上饶,202101.csv,NO2,39.01
上饶,202101.csv,O3,31.57
上饶,202101.csv,PM10,83.61
上饶,202101.csv,PM2.5,45.08
上饶,202101.csv,SO2,27.87
东莞,202101.csv,AQI,68.44
东莞,202101.csv,CO,0.78
东莞,202101.csv,NO2,55.05
东莞,202101.csv,O3,63.73
东莞,202101.csv,PM10,80.89
东莞,202101.csv,PM2.5,44.86
东莞,202101.csv,SO2,12.83
东营,202101.csv,AQI,96.04
东营,202101.csv,CO,1.04
东营,202101.csv,NO2,43.58
东营,202101.csv,O3,32.95
东营,202101.csv,PM10,116.56
东营,202101.csv,PM2.5,60.98
东营,202101.csv,SO2,20.51
中卫,202101.csv,AQI,98.08
中卫,202101.csv,CO,0.49
中卫,202101.csv,NO2,28.16
中卫,202101.csv,O3,50.45
中卫,202101.csv,PM10,138.88
中卫,202101.csv,PM2.5,42.75
中卫,202101.csv,SO2,11.43
中山,202101.csv,AQI,65.41
中山,202101.csv,CO,0.72
中山,202101.csv,NO2,53.65
中山,202101.csv,O3,52.61
中山,202101.csv,PM10,72.4
中山,202101.csv,PM2.5,42.29
中山,202101.csv,SO2,6.04
临夏回族自治州,202101.csv,AQI,72.85
临夏回族自治州,202101.csv,CO,1.41
临夏回族自治州,202101.csv,NO2,31.01
临夏回族自治州,202101.csv,O3,33.87
