city,type,value
七台河,AQI,44.48
七台河,CO,0.72
七台河,NO2,22.72
七台河,O3,78.59
七台河,PM10,42.74
七台河,PM2.5,27.2
七台河,SO2,9.91
三亚,AQI,31.04
三亚,CO,0.44
三亚,NO2,7.21
三亚,O3,60.63
三亚,PM10,29.04
三亚,PM2.5,15.4
三亚,SO2,3.23
三明,AQI,41.62
三明,CO,0.95
三明,NO2,23.59
三明,O3,44.28
三明,PM10,40.09
三明,PM2.5,25.67
三明,SO2,8.7
三门峡,AQI,84.44
三门峡,CO,0.71
三门峡,NO2,27.96
三门峡,O3,69.95
三门峡,PM10,102.15
三门峡,PM2.5,48.86
三门峡,SO2,9.24
上海,AQI,60.45
上海,CO,0.69
上海,NO2,40.83
上海,O3,69.61
上海,PM10,64.1
上海,PM2.5,36.98
上海,SO2,7.38
上饶,AQI,47.88
上饶,CO,0.78
上饶,NO2,23.86
上饶,O3,58.01
上饶,PM10,51.33
上饶,PM2.5,27.21
上饶,SO2,12.81
东莞,AQI,43.05
东莞,CO,0.76
东莞,NO2,26.74
东莞,O3,57.55
东莞,PM10,45.41
东莞,PM2.5,23.15
东莞,SO2,8.09
东营,AQI,85.47
东营,CO,0.68
东营,NO2,29.88
东营,O3,77.86
东营,PM10,108.84
东营,PM2.5,43.67
东营,SO2,11.17
中卫,AQI,106.34
中卫,CO,0.48
中卫,NO2,24.96
中卫,O3,69.91
中卫,PM10,163.5
中卫,PM2.5,47.43
中卫,SO2,8.34
中山,AQI,41.8
中山,CO,0.54
中山,NO2,24.88
中山,O3,57.34
中山,PM10,42.03
中山,PM2.5,23.75
中山,SO2,5.67
临夏回族自治州,AQI,90.26
临夏回族自治州,CO,0.66
临夏回族自治州,NO2,18.24
临夏回族自治州,O3,65.2
临夏回族自治州,PM10,125.4
临夏回族自治州,PM2.5,42.92
临夏回族自治州,SO2,5.26
临汾,AQI,85.43
临汾,CO,0.71
临汾,NO2,27.72
临汾,O3,66.78
临汾,PM10,108.85
临汾,PM2.5,45.25
临汾,SO2,8.68
临沂,AQI,81.85
临沂,CO,0.74
临沂,NO2,29.2
临沂,O3,76.63
临沂,PM10,98.85
临沂,PM2.5,48.5
临沂,SO2,9.14
临沧,AQI,58.28
临沧,CO,0.49
临沧,NO2,13.17
临沧,O3,86.55
临沧,PM10,51.34
临沧,PM2.5,41.25
临沧,SO2,8.42
丹东,AQI,54.9
丹东,CO,0.78
丹东,NO2,18.66
丹东,O3,72.89
丹东,PM10,56.7
丹东,PM2.5,33.2
丹东,SO2,11.52
丽水,AQI,45.0
丽水,CO,0.52
丽水,NO2,21.51
丽水,O3,59.91
丽水,PM10,45.3
丽水,PM2.5,26.52
丽水,SO2,3.86
丽江,AQI,32.42
丽江,CO,0.54
丽江,NO2,11.28
丽江,O3,92.24
丽江,PM10,27.37
丽江,PM2.5,14.64
丽江,SO2,7.21
乌兰察布,AQI,58.13
乌兰察布,CO,0.44
乌兰察布,NO2,18.15
乌兰察布,O3,73.32
乌兰察布,PM10,87.76
乌兰察布,PM2.5,24.16
乌兰察布,SO2,10.37
乌海,AQI,93.77
乌海,CO,0.72
乌海,NO2,28.32
乌海,O3,68.66
乌海,PM10,131.57
乌海,PM2.5,33.57
乌海,SO2,21.96
乌鲁木齐,AQI,63.37
乌鲁木齐,CO,0.62
乌鲁木齐,NO2,32.84
乌鲁木齐,O3,64.37
乌鲁木齐,PM10,70.25
乌鲁木齐,PM2.5,39.06
乌鲁木齐,SO2,5.24
乐山,AQI,64.77
乐山,CO,0.73
乐山,NO2,28.95
乐山,O3,66.07
乐山,PM10,67.79
乐山,PM2.5,43.88
乐山,SO2,6.64
九江,AQI,58.91
九江,CO,0.78
九江,NO2,31.85
九江,O3,64.54
九江,PM10,63.58
九江,PM2.5,36.89
九江,SO2,11.28
云浮,AQI,45.0
云浮,CO,0.67
云浮,NO2,27.02
云浮,O3,42.95
云浮,PM10,46.44
云浮,PM2.5,25.53
云浮,SO2,7.43
五家渠,AQI,71.0
五家渠,CO,0.76
五家渠,NO2,19.51
五家渠,O3,66.2
五家渠,PM10,76.03
五家渠,PM2.5,45.42
五家渠,SO2,9.86
亳州,AQI,77.02
亳州,CO,0.57
亳州,NO2,17.24
亳州,O3,80.08
亳州,PM10,97.61
亳州,PM2.5,43.31
亳州,SO2,8.76
伊春,AQI,38.68
伊春,CO,0.51
伊春,NO2,12.22
伊春,O3,73.98
伊春,PM10,39.07
伊春,PM2.5,21.15
伊春,SO2,5.96
伊犁哈萨克州,AQI,48.43
伊犁哈萨克州,CO,0.96
伊犁哈萨克州,NO2,28.53
伊犁哈萨克州,O3,66.43
伊犁哈萨克州,PM10,48.91
伊犁哈萨克州,PM2.5,27.85
伊犁哈萨克州,SO2,7.47
佛山,AQI,46.36
佛山,CO,0.69
佛山,NO2,35.09
佛山,O3,42.74
佛山,PM10,49.96
佛山,PM2.5,25.69
佛山,SO2,6.87
佳木斯,AQI,48.04
佳木斯,CO,0.5
佳木斯,NO2,20.0
佳木斯,O3,70.15
佳木斯,PM10,51.73
佳木斯,PM2.5,25.45
佳木斯,SO2,5.71
保定,AQI,94.96
保定,CO,0.52
保定,NO2,28.29
保定,O3,61.63
保定,PM10,123.48
保定,PM2.5,51.34
保定,SO2,5.96
保山,AQI,47.84
保山,CO,0.55
保山,NO2,8.41
保山,O3,97.81
保山,PM10,49.01
保山,PM2.5,29.44
保山,SO2,7.02
信阳,AQI,76.9
信阳,CO,0.59
信阳,NO2,19.43
信阳,O3,85.31
信阳,PM10,87.13
信阳,PM2.5,48.29
信阳,SO2,4.39
儋州,AQI,30.81
儋州,CO,0.64
儋州,NO2,6.46
儋州,O3,64.71
儋州,PM10,28.8
儋州,PM2.5,17.21
儋州,SO2,7.58
克孜勒苏柯尔克孜自治州,AQI,158.65
克孜勒苏柯尔克孜自治州,CO,0.43
克孜勒苏柯尔克孜自治州,NO2,9.91
克孜勒苏柯尔克孜自治州,O3,81.35
克孜勒苏柯尔克孜自治州,PM10,230.44
克孜勒苏柯尔克孜自治州,PM2.5,58.73
克孜勒苏柯尔克孜自治州,SO2,5.73
克拉玛依,AQI,39.84
克拉玛依,CO,0.42
克拉玛依,NO2,18.5
克拉玛依,O3,72.81
克拉玛依,PM10,38.81
克拉玛依,PM2.5,22.56
克拉玛依,SO2,8.0
六安,AQI,74.28
六安,CO,0.61
六安,NO2,21.87
六安,O3,79.24
六安,PM10,80.75
六安,PM2.5,46.87
六安,SO2,5.12
六盘水,AQI,41.69
六盘水,CO,0.81
六盘水,NO2,12.42
六盘水,O3,86.68
六盘水,PM10,38.59
六盘水,PM2.5,24.39
六盘水,SO2,8.17
