city,date,type,value,province,is_coastal,population,gdp,climate_type,region
三亚,201405,AQI,23.76,海南省,是,1035118.0,673.1,热带季风气候,华南
三亚,201405,CO,0.49,海南省,是,1035118.0,673.1,热带季风气候,华南
三亚,201405,NO2,9.92,海南省,是,1035118.0,673.1,热带季风气候,华南
三亚,201405,O3,46.87,海南省,是,1035118.0,673.1,热带季风气候,华南
三亚,201405,PM10,22.96,海南省,是,1035118.0,673.1,热带季风气候,华南
三亚,201405,PM2.5,12.62,海南省,是,1035118.0,673.1,热带季风气候,华南
三亚,201405,SO2,2.13,海南省,是,1035118.0,673.1,热带季风气候,华南
三门峡,201405,AQI,99.05,河南省,否,2237479.0,1676.4,温带季风气候,华中
三门峡,201405,CO,1.24,河南省,否,2237479.0,1676.4,温带季风气候,华中
三门峡,201405,NO2,29.3,河南省,否,2237479.0,1676.4,温带季风气候,华中
三门峡,201405,O3,62.14,河南省,否,2237479.0,1676.4,温带季风气候,华中
三门峡,201405,PM10,137.56,河南省,否,2237479.0,1676.4,温带季风气候,华中
三门峡,201405,PM2.5,60.79,河南省,否,2237479.0,1676.4,温带季风气候,华中
三门峡,201405,SO2,37.22,河南省,否,2237479.0,1676.4,温带季风气候,华中
上海,201405,AQI,97.13,上海市,是,24870895.0,44652.8,亚热带季风气候,华东
上海,201405,CO,0.75,上海市,是,24870895.0,44652.8,亚热带季风气候,华东
上海,201405,NO2,43.61,上海市,是,24870895.0,44652.8,亚热带季风气候,华东
上海,201405,O3,102.2,上海市,是,24870895.0,44652.8,亚热带季风气候,华东
上海,201405,PM10,110.07,上海市,是,24870895.0,44652.8,亚热带季风气候,华东
上海,201405,PM2.5,68.92,上海市,是,24870895.0,44652.8,亚热带季风气候,华东
上海,201405,SO2,17.24,上海市,是,24870895.0,44652.8,亚热带季风气候,华东
东莞,201405,AQI,42.22,广东省,是,10466607.0,11200.3,亚热带季风气候,华南
东莞,201405,CO,0.7,广东省,是,10466607.0,11200.3,亚热带季风气候,华南
东莞,201405,NO2,37.48,广东省,是,10466607.0,11200.3,亚热带季风气候,华南
东莞,201405,O3,42.14,广东省,是,10466607.0,11200.3,亚热带季风气候,华南
东莞,201405,PM10,40.78,广东省,是,10466607.0,11200.3,亚热带季风气候,华南
东莞,201405,PM2.5,26.46,广东省,是,10466607.0,11200.3,亚热带季风气候,华南
东莞,201405,SO2,16.8,广东省,是,10466607.0,11200.3,亚热带季风气候,华南
东营,201405,AQI,128.47,山东省,是,2190541.0,3620.7,温带季风气候,华东
东营,201405,CO,1.1,山东省,是,2190541.0,3620.7,温带季风气候,华东
东营,201405,NO2,45.75,山东省,是,2190541.0,3620.7,温带季风气候,华东
东营,201405,O3,111.33,山东省,是,2190541.0,3620.7,温带季风气候,华东
东营,201405,PM10,194.6,山东省,是,2190541.0,3620.7,温带季风气候,华东
东营,201405,PM2.5,74.86,山东省,是,2190541.0,3620.7,温带季风气候,华东
东营,201405,SO2,82.73,山东省,是,2190541.0,3620.7,温带季风气候,华东
中山,201405,AQI,25.71,广东省,是,4427197.0,3631.3,亚热带季风气候,华南
中山,201405,CO,0.87,广东省,是,4427197.0,3631.3,亚热带季风气候,华南
中山,201405,NO2,12.34,广东省,是,4427197.0,3631.3,亚热带季风气候,华南
中山,201405,O3,30.55,广东省,是,4427197.0,3631.3,亚热带季风气候,华南
中山,201405,PM10,25.07,广东省,是,4427197.0,3631.3,亚热带季风气候,华南
中山,201405,PM2.5,14.91,广东省,是,4427197.0,3631.3,亚热带季风气候,华南
中山,201405,SO2,8.92,广东省,是,4427197.0,3631.3,亚热带季风气候,华南
临安,201405,AQI,97.74,浙江省,否,573100.0,132.5,亚热带季风气候,华东
临安,201405,CO,0.81,浙江省,否,573100.0,132.5,亚热带季风气候,华东
